example_idx,correlation,top10_overlap
0,0.39696593036119043,0.3
1,0.510723761890322,0.6
2,0.6046622560097071,0.5
3,0.7038248431260277,0.8
4,0.5990347417437448,0.4
5,0.029296237004171687,0.2
6,0.6585679778899243,0.5
7,0.19170454828169298,0.4
8,0.7442552171582976,0.5
9,0.5111270088032001,0.7
